Sample	taxa	abundance
0479-4FF	p__Actinobacteria	2.67737
0479-4FF	p__Bacteroidetes	0.03378
0479-5	p__Firmicutes	97.42707
0479-5	p__Actinobacteria	2.57293
0479-5FF	p__Firmicutes	97.51731
0479-5FF	p__Actinobacteria	2.25535
0479-5FF	p__Bacteroidetes	0.22734
0497-1	p__Firmicutes	94.6894
0497-1	p__Actinobacteria	5.3106
0497-1FF	p__Firmicutes	93.86314
0497-1FF	p__Actinobacteria	5.65044
0497-1FF	p__Bacteroidetes	0.41108
0497-1FF	p__Proteobacteria	0.07534
0497-4	p__Firmicutes	91.43642
0497-4	p__Actinobacteria	8.30721
0497-4	p__Bacteroidetes	0.19494
0497-4	p__Proteobacteria	0.06143
0497-4FF	p__Firmicutes	93.12065
0497-4FF	p__Actinobacteria	6.26509
0497-4FF	p__Proteobacteria	0.4512
0497-4FF	p__Bacteroidetes	0.16306
0497-5	p__Firmicutes	95.11285
0497-5	p__Actinobacteria	4.69243
0497-5	p__Bacteroidetes	0.11714
0497-5	p__Euryarchaeota	0.07758
0497-5FF	p__Firmicutes	90.26797
0497-5FF	p__Actinobacteria	3.93387
0497-5FF	p__Bacteroidetes	3.54395
0497-5FF	p__Proteobacteria	1.5662
0497-5FF	p__Euryarchaeota	0.68801
0523-1	p__Firmicutes	61.56016
0523-1	p__Actinobacteria	38.40345
0523-1	p__Bacteroidetes	0.03639
0523-1FF	p__Firmicutes	75.35709
0523-1FF	p__Actinobacteria	24.64291
0523-4	p__Firmicutes	67.85578
0523-4	p__Actinobacteria	32.06112
0523-4	p__Bacteroidetes	0.0831
0523-5	p__Firmicutes	74.2128
0523-5	p__Actinobacteria	25.19415
0523-5	p__Proteobacteria	0.3863
0523-5	p__Bacteroidetes	0.1487
0523-5	p__Verrucomicrobia	0.05805
0541-1A	p__Firmicutes	56.17134
0541-1A	p__Bacteroidetes	26.80162
0541-1A	p__Actinobacteria	8.53887
0541-1A	p__Proteobacteria	8.30821
0541-1A	p__Fusobacteria	0.17996
0541-1B	p__Firmicutes	43.89806
0541-1B	p__Bacteroidetes	42.16088
0541-1B	p__Actinobacteria	9.63878
0541-1B	p__Proteobacteria	3.81794
0541-1B	p__Fusobacteria	0.48434
0541-4A	p__Firmicutes	75.03563
0541-4A	p__Actinobacteria	24.96437
0541-4B	p__Firmicutes	81.37894
0541-4B	p__Actinobacteria	18.62106
0541-5A	p__Firmicutes	85.36635
0541-5A	p__Actinobacteria	14.63365
0541-5B	p__Firmicutes	76.08715
0541-5B	p__Actinobacteria	23.91285
0569-1A	p__Firmicutes	86.05626
0569-1A	p__Actinobacteria	13.83996
0569-1A	p__Bacteroidetes	0.10378
0569-1B	p__Firmicutes	87.7347
0569-1B	p__Actinobacteria	10.57418
0569-1B	p__Bacteroidetes	1.69112
0569-4A	p__Firmicutes	98.29154
0569-4A	p__Actinobacteria	1.70846
0569-4B	p__Firmicutes	98.13167
0569-4B	p__Actinobacteria	1.86833
0569-5A	p__Firmicutes	83.03929
0569-5A	p__Actinobacteria	16.96071
0569-5B	p__Firmicutes	80.48003
0569-5B	p__Actinobacteria	19.51997
0587-1A	p__Verrucomicrobia	50.11083
0587-1A	p__Firmicutes	40.20388
0587-1A	p__Actinobacteria	5.37397
0587-1A	p__Proteobacteria	4.31132
0587-1B	p__Verrucomicrobia	85.95793
0587-1B	p__Firmicutes	12.28081
0587-1B	p__Actinobacteria	0.93853
0587-1B	p__Proteobacteria	0.82273
0587-4	p__Firmicutes	81.74394
0587-4	p__Actinobacteria	18.25606
0587-5A	p__Firmicutes	86.83892
0587-5A	p__Actinobacteria	13.16108
0587-5B	p__Firmicutes	77.50749
0587-5B	p__Actinobacteria	22.45827
0587-5B	p__Proteobacteria	0.03424
0596-1	p__Actinobacteria	83.29632
0596-1	p__Firmicutes	13.54161
0596-1	p__Verrucomicrobia	2.46486
0596-1	p__Euryarchaeota	0.47583
0596-1	p__Bacteroidetes	0.22138
0596-4	p__Firmicutes	81.46034
0596-4	p__Actinobacteria	12.53515
0596-4	p__Verrucomicrobia	4.37653
0596-4	p__Euryarchaeota	1.62798
0596-5	p__Firmicutes	80.10229
0596-5	p__Actinobacteria	14.57969
0596-5	p__Verrucomicrobia	2.69764
0596-5	p__Euryarchaeota	2.33772
0596-5	p__Bacteroidetes	0.28266
0613-1	p__Bacteroidetes	46.07316
0613-1	p__Actinobacteria	33.72472
0613-1	p__Firmicutes	20.20212
0613-4	p__Firmicutes	74.98772
0613-4	p__Actinobacteria	25.01228
0613-5	p__Firmicutes	69.65187
0613-5	p__Actinobacteria	30.34813
0631-1	p__Firmicutes	81.49205
0631-1	p__Actinobacteria	18.19015
0631-1	p__Bacteroidetes	0.3178
0631-4	p__Firmicutes	75.44197
0631-4	p__Actinobacteria	23.85185
0631-4	p__Proteobacteria	0.47975
0631-4	p__Ascomycota	0.22643
0631-5	p__Firmicutes	62.15434
0631-5	p__Actinobacteria	37.57853
0631-5	p__Bacteroidetes	0.26713
0659-1	p__Firmicutes	96.69104
0659-1	p__Actinobacteria	2.20061
0659-1	p__Bacteroidetes	1.01462
0659-1	p__Proteobacteria	0.09373
0659-4	p__Firmicutes	84.87054
0659-4	p__Actinobacteria	15.12946
0659-5	p__Firmicutes	96.13349
0659-5	p__Actinobacteria	3.86651
0677-1	p__Proteobacteria	51.91578
0677-1	p__Firmicutes	28.41564
0677-1	p__Actinobacteria	19.54817
0677-1	p__Bacteroidetes	0.12041
0677-4	p__Firmicutes	98.82651
0677-4	p__Actinobacteria	1.17349
0677-5	p__Firmicutes	99.16604
0677-5	p__Actinobacteria	0.83396
0695-1	p__Firmicutes	97.49026
0695-1	p__Actinobacteria	2.50974
0695-4	p__Firmicutes	96.78649
0695-4	p__Actinobacteria	3.06114
0695-4	p__Verrucomicrobia	0.11346
0695-4	p__Bacteroidetes	0.03891
0695-5	p__Firmicutes	88.43856
0695-5	p__Actinobacteria	10.96756
0695-5	p__Verrucomicrobia	0.59387
0703-1	p__Firmicutes	46.2104
0703-1	p__Actinobacteria	30.04623
0703-1	p__Proteobacteria	23.52482
0703-1	p__Bacteroidetes	0.21855
0703-4	p__Firmicutes	97.70931
0703-4	p__Actinobacteria	2.29069
0703-5	p__Firmicutes	74.29217
0703-5	p__Actinobacteria	23.5455
0703-5	p__Proteobacteria	2.16233
0721-1	p__Firmicutes	68.37936
0721-1	p__Bacteroidetes	16.0247
0721-1	p__Actinobacteria	15.25353
0721-1	p__Proteobacteria	0.17784
0721-1	p__Verrucomicrobia	0.16456
0721-4	p__Firmicutes	76.19943
0721-4	p__Actinobacteria	23.80057
0749-1	p__Firmicutes	67.32053
0749-1	p__Actinobacteria	32.67947
0749-5	p__Firmicutes	86.04232
0749-5	p__Actinobacteria	13.57465
0749-5	p__Proteobacteria	0.36805
0749-5	p__Bacteroidetes	0.01498
0767-1	p__Firmicutes	92.22188
0767-1	p__Actinobacteria	7.57454
0767-1	p__Bacteroidetes	0.1591
0767-1	p__Proteobacteria	0.04448
0767-4	p__Firmicutes	86.53864
0767-4	p__Actinobacteria	9.70453
0767-4	p__Proteobacteria	3.75683
0767-5	p__Firmicutes	83.87504
0767-5	p__Actinobacteria	16.12496
0776-1	p__Firmicutes	82.00527
0776-1	p__Actinobacteria	17.50593
0776-1	p__Bacteroidetes	0.41082
0776-1	p__Proteobacteria	0.07798
0776-4	p__Firmicutes	58.79957
0776-4	p__Actinobacteria	21.33673
0776-4	p__Proteobacteria	19.8637
0776-5	p__Firmicutes	78.52935
0776-5	p__Actinobacteria	21.37491
0776-5	p__Proteobacteria	0.09574
0785-1	p__Firmicutes	54.03491
0785-1	p__Actinobacteria	45.13332
0785-1	p__Proteobacteria	0.74284
0785-1	p__Verrucomicrobia	0.08893
0785-4	p__Actinobacteria	53.57834
0785-4	p__Firmicutes	46.33781
0785-4	p__Verrucomicrobia	0.08385
0785-5	p__Actinobacteria	64.35013
0785-5	p__Firmicutes	35.2442
0785-5	p__Euryarchaeota	0.26506
0785-5	p__Proteobacteria	0.08755
0785-5	p__Verrucomicrobia	0.05307
